_id,strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strInstructions,strIngList
0,'57 Chevy with a White License Plate,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,Creme De Cacao,Vodka,,,,,,,,,,,1 oz white,1 oz,,,,,,,,,,,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,"[""Creme De Cacao"", ""Vodka""]"
1,1-900-FUK-MEUP,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Old-fashioned glass,Absolut Kurant,Grand Marnier,Chambord Raspberry Liqueur,Midori Melon Liqueur,Malibu Rum,Amaretto,Cranberry Juice,Pineapple Juice,,,,,1/2 oz,1/4 oz,1/4 oz,1/4 oz,1/4 oz,1/4 oz,1/2 oz,1/4 oz,,,,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,"[""Absolut Kurant"", ""Grand Marnier"", ""Chambord Raspberry Liqueur"", ""Midori Melon Liqueur"", ""Malibu Rum"", ""Amaretto"", ""Cranberry Juice"", ""Pineapple Juice""]"
2,110 in the shade,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,Lager,Tequila,,,,,,,,,,,16 oz,1.5 oz,,,,,,,,,,,Drop shooter in glass. Fill with beer,"[""Lager"", ""Tequila""]"
3,151 Florida Bushwacker,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer mug,Malibu Rum,Light Rum,151 Proof Rum,Dark Creme De Cacao,Cointreau,Milk,Coconut Liqueur,Vanilla Ice-Cream,,,,,1/2 oz,1/2 oz,1/2 oz Bacardi,1 oz,1 oz,3 oz,1 oz,1 cup,,,,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,"[""Malibu Rum"", ""Light Rum"", ""151 Proof Rum"", ""Dark Creme De Cacao"", ""Cointreau"", ""Milk"", ""Coconut Liqueur"", ""Vanilla Ice-Cream""]"
4,155 Belmont,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,Dark Rum,Light Rum,Vodka,Orange Juice,,,,,,,,,1 shot,2 shots,1 shot,1 shot,,,,,,,,,Blend with ice. Serve in a wine glass. Garnish with carrot.,"[""Dark Rum"", ""Light Rum"", ""Vodka"", ""Orange Juice""]"
5,24k nightmare,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot glass,Goldschlager,Jägermeister,Rumple Minze,151 Proof Rum,,,,,,,,,1/2 oz,1/2 oz,1/2 oz,1/2 oz Bacardi,,,,,,,,,"Add over ice,shake and pour.","[""Goldschlager"", ""Jägermeister"", ""Rumple Minze"", ""151 Proof Rum""]"
6,252,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Shot glass,151 Proof Rum,Wild Turkey,,,,,,,,,,,1/2 shot Bacardi,1/2 shot,,,,,,,,,,,"Add both ingredients to shot glass, shoot, and get drunk quick","[""151 Proof Rum"", ""Wild Turkey""]"
7,3 Wise Men,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Collins glass,Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,,,1/3 oz,1/3 oz,1/3 oz,,,,,,,,,,put them them in a glass... and slam it to tha head.,"[""Jack Daniels"", ""Johnnie Walker"", ""Jim Beam""]"
8,3-Mile Long Island Iced Tea,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,Gin,Light Rum,Tequila,Triple Sec,Vodka,Coca-Cola,Sweet And Sour,Bitters,Lemon,,,,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1/2 oz,,1-2 dash,1 wedge,,,,,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,"[""Gin"", ""Light Rum"", ""Tequila"", ""Triple Sec"", ""Vodka"", ""Coca-Cola"", ""Sweet And Sour"", ""Bitters"", ""Lemon""]"
9,410 Gone,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Collins Glass,Peach Vodka,Coca-Cola,,,,,,,,,,,2-3 oz,,,,,,,,,,,,,"[""Peach Vodka"", ""Coca-Cola""]"
10,50/50,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,Collins Glass,Vanilla Vodka,Grand Marnier,Orange Juice,,,,,,,,,,2 1/2 oz,1 splash,Fill with,,,,,,,,,,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,"[""Vanilla Vodka"", ""Grand Marnier"", ""Orange Juice""]"
11,501 Blue,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,Collins Glass,Blue Curacao,Blueberry Schnapps,Vodka,Sour Mix,7-Up,,,,,,,,,,,,,,,,,,,,Mix equal amounts into a glass with ice.,"[""Blue Curacao"", ""Blueberry Schnapps"", ""Vodka"", ""Sour Mix"", ""7-Up""]"
12,69 Special,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,Collins Glass,Gin,7-Up,Lemon Juice,,,,,,,,,,2 oz dry,4 oz,0.75 oz,,,,,,,,,,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.","[""Gin"", ""7-Up"", ""Lemon Juice""]"
13,747,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,Shot glass,Kahlua,Bailey'S Irish Cream,Frangelico,,,,,,,,,,1/3 part,1/3 part,1/3 part,,,,,,,,,,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!","[""Kahlua"", ""Bailey'S Irish Cream"", ""Frangelico""]"
14,9 1/2 Weeks,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Cocktail glass,Absolut Citron,Orange Curacao,Strawberry Liqueur,Orange Juice,,,,,,,,,2 oz,1/2 oz,1 splash,1 oz,,,,,,,,,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,"[""Absolut Citron"", ""Orange Curacao"", ""Strawberry Liqueur"", ""Orange Juice""]"
15,A Day at the Beach,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,Highball glass,Coconut Rum,Amaretto,Orange Juice,Grenadine,,,,,,,,,1 oz,1/2 oz,4 oz,1/2 oz,,,,,,,,,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.","[""Coconut Rum"", ""Amaretto"", ""Orange Juice"", ""Grenadine""]"
16,A Furlong Too Late,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Highball glass,Light Rum,Ginger Beer,Lemon Peel,,,,,,,,,,2 oz,4 oz,1 twist of,,,,,,,,,,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,"[""Light Rum"", ""Ginger Beer"", ""Lemon Peel""]"
17,A Gilligan's Island,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,Collins glass,Vodka,Peach Schnapps,Orange Juice,Cranberry Juice,,,,,,,,,1 oz,1 oz,3 oz,3 oz,,,,,,,,,"Shaken, not stirred!","[""Vodka"", ""Peach Schnapps"", ""Orange Juice"", ""Cranberry Juice""]"
18,A Night In Old Mandalay,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,Highball glass,Light Rum,Añejo Rum,Orange Juice,Lemon Juice,Ginger Ale,Lemon Peel,,,,,,,1 oz,1 oz,1 oz,1/2 oz,3 oz,1 twist of,,,,,,,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.","[""Light Rum"", ""Añejo Rum"", ""Orange Juice"", ""Lemon Juice"", ""Ginger Ale"", ""Lemon Peel""]"
19,A Piece of Ass,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,Highball glass,Amaretto,Southern Comfort,Ice,Sour Mix,,,,,,,,,1 shot,1 shot,cubes,,,,,,,,,,Put ice in glass. Pour in shots. Fill with Sour Mix.,"[""Amaretto"", ""Southern Comfort"", ""Ice"", ""Sour Mix""]"
20,A Splash of Nash,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,Highball glass,Cranberry Juice,Soda Water,Midori Melon Liqueur,Creme De Banane,,,,,,,,,2 oz,2 oz,0.5 oz,0.5 oz,,,,,,,,,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,"[""Cranberry Juice"", ""Soda Water"", ""Midori Melon Liqueur"", ""Creme De Banane""]"
21,A True Amaretto Sour,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,Old-fashioned glass,Amaretto,Lemon,Ice,Maraschino Cherry,,,,,,,,,1 jigger,Juice of 1/2,,,,,,,,,,,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.","[""Amaretto"", ""Lemon"", ""Ice"", ""Maraschino Cherry""]"
22,A midsummernight dream,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,Collins Glass,Vodka,Kirschwasser,Strawberry Liqueur,Strawberries,Schweppes Russchian,,,,,,,,2 oz,1 oz,1 tsp,5,,,,,,,,,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water","[""Vodka"", ""Kirschwasser"", ""Strawberry Liqueur"", ""Strawberries"", ""Schweppes Russchian""]"
23,A. J.,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,Cocktail glass,Applejack,Grapefruit Juice,,,,,,,,,,,1 1/2 oz,1 oz,,,,,,,,,,,"Shake ingredients with ice, strain into a cocktail glass, and serve.","[""Applejack"", ""Grapefruit Juice""]"
24,A.D.M. (After Dinner Mint),Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,Irish coffee cup,White Creme De Menthe,Southern Comfort,Vodka,Hot Chocolate,,,,,,,,,1/2 oz,3/4 oz,1/2 oz,Fill with,,,,,,,,,shake vigorously,"[""White Creme De Menthe"", ""Southern Comfort"", ""Vodka"", ""Hot Chocolate""]"
25,A1,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Cocktail glass,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,1 3/4 shot,1 Shot,1/4 Shot,1/8 Shot,,,,,,,,,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.","[""Gin"", ""Grand Marnier"", ""Lemon Juice"", ""Grenadine""]"
26,ABC,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Shot glass,Amaretto,Bailey'S Irish Cream,Cognac,,,,,,,,,,3-Jan,3-Jan,3-Jan,,,,,,,,,,Layered in a shot glass.,"[""Amaretto"", ""Bailey'S Irish Cream"", ""Cognac""]"
27,ACID,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,Shot glass,151 Proof Rum,Wild Turkey,,,,,,,,,,,1 oz Bacardi,1 oz,,,,,,,,,,,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,"[""151 Proof Rum"", ""Wild Turkey""]"
28,AT&T,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Highball Glass,Absolut Vodka,Gin,Tonic Water,,,,,,,,,,1 oz,1 oz,4 oz,,,,,,,,,,"Pour Vodka and Gin over ice, add Tonic and Stir","[""Absolut Vodka"", ""Gin"", ""Tonic Water""]"
29,Abbey Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,Cocktail glass,Gin,Orange Bitters,Orange,Cherry,,,,,,,,,1 1/2 oz,1 dash,Juice of 1/4,1,,,,,,,,,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,"[""Gin"", ""Orange Bitters"", ""Orange"", ""Cherry""]"
30,Abbey Martini,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,Cocktail glass,Gin,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,,,,2 shots,1 shot,1 shot,3 dashes,,,,,,,,,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.","[""Gin"", ""Sweet Vermouth"", ""Orange Juice"", ""Angostura Bitters""]"
31,Abilene,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,Highball glass,Dark Rum,Peach Nectar,Orange Juice,,,,,,,,,,1 1/2 oz,2 oz,3 oz,,,,,,,,,,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,"[""Dark Rum"", ""Peach Nectar"", ""Orange Juice""]"
32,Absinthe #2,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,Jar,Vodka,Sugar,Anise,Licorice Root,Wormwood,,,,,,,,1 bottle,50 gr,50 ml pure,1 tblsp,1,,,,,,,,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.","[""Vodka"", ""Sugar"", ""Anise"", ""Licorice Root"", ""Wormwood""]"
33,Absolut Evergreen,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,Collins Glass,Absolut Citron,Pisang Ambon,Ice,Bitter Lemon,,,,,,,,,2/3 part,1/3 part,cubes,,,,,,,,,,"Mix, pour over ice and top up with Bitter Lemon.","[""Absolut Citron"", ""Pisang Ambon"", ""Ice"", ""Bitter Lemon""]"
34,Absolut Sex,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,Old-fashioned glass,Absolut Kurant,Midori Melon Liqueur,Cranberry Juice,Sprite,,,,,,,,,3/4 oz,3/4 oz,1 oz,1 splash,,,,,,,,,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.","[""Absolut Kurant"", ""Midori Melon Liqueur"", ""Cranberry Juice"", ""Sprite""]"
35,Absolut Stress #2,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,Collins Glass,Absolut Vodka,Peach Schnapps,Coconut Liqueur,Cranberry Juice,Pineapple Juice,,,,,,,,1 1/2 oz,1/2 oz,1/2 oz,1 1/2 oz,1 1/2 oz,,,,,,,,Mix well. Garnish with Orange and Cherry. Enjoy,"[""Absolut Vodka"", ""Peach Schnapps"", ""Coconut Liqueur"", ""Cranberry Juice"", ""Pineapple Juice""]"
36,Absolut Summertime,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,Collins glass,Absolut Citron,Sweet And Sour,Sprite,Soda Water,Lemon,,,,,,,,1 1/2 oz,3/4 oz,1/2 oz,3 oz,1 slice,,,,,,,,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,"[""Absolut Citron"", ""Sweet And Sour"", ""Sprite"", ""Soda Water"", ""Lemon""]"
37,Absolut limousine,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,Collins Glass,Absolut Citron,Lime Juice,Ice,Tonic Water,,,,,,,,,3-Feb,3-Jan,Fill with,Top it up with,,,,,,,,,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.,"[""Absolut Citron"", ""Lime Juice"", ""Ice"", ""Tonic Water""]"
38,Absolutely Cranberry Smash,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,Cocktail glass,Absolut Vodka,Cranberry Juice,Ginger Ale,Ice,,,,,,,,,2 oz,4 oz,2 oz,Add,,,,,,,,,Stir ingredients together. Serve over ice.,"[""Absolut Vodka"", ""Cranberry Juice"", ""Ginger Ale"", ""Ice""]"
39,Absolutely Fabulous,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Champagne flute,Vodka,Cranberry Juice,Champagne,,,,,,,,,,1 shot,2 shots,Top up with,,,,,,,,,,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,"[""Vodka"", ""Cranberry Juice"", ""Champagne""]"
40,Absolutly Screwed Up,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,Collins glass,Absolut Citron,Orange Juice,Triple Sec,Ginger Ale,,,,,,,,,1 shot,1 shot,1 shot,Fill to top,,,,,,,,,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.","[""Absolut Citron"", ""Orange Juice"", ""Triple Sec"", ""Ginger Ale""]"
41,Acapulco,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,Old-fashioned glass,Light Rum,Triple Sec,Lime Juice,Sugar,Egg White,Mint,,,,,,,1 1/2 oz,1 1/2 tsp,1 tblsp,1 tsp,1,1,,,,,,,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,"[""Light Rum"", ""Triple Sec"", ""Lime Juice"", ""Sugar"", ""Egg White"", ""Mint""]"
42,Ace,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Martini Glass,Gin,Grenadine,Heavy Cream,Milk,Egg White,,,,,,,,2 shots,1/2 shot,1/2 shot,1/2 shot,1/2 Fresh,,,,,,,,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,"[""Gin"", ""Grenadine"", ""Heavy Cream"", ""Milk"", ""Egg White""]"
43,Adam,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,Cocktail glass,Dark Rum,Lemon Juice,Grenadine,,,,,,,,,,2 oz,1 oz,1 tsp,,,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","[""Dark Rum"", ""Lemon Juice"", ""Grenadine""]"
44,Adam & Eve,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Cocktail glass,Gin,Cognac,Creme De Cassis,Fresh Lemon Juice,,,,,,,,,1 shot,1 shot,1 shot,1/8 shot,,,,,,,,,Shake together all the ingredients and strain into a cold glass.,"[""Gin"", ""Cognac"", ""Creme De Cassis"", ""Fresh Lemon Juice""]"
45,Adam Bomb,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Margarita/Coupette glass,Rum,Vodka,Tequila,Triple Sec,Fruit,Ice,Salt,Fruit Juice,,,,,1 part,1 part,1 part,1/2 part,,,1-3 pint,,,,,,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.","[""Rum"", ""Vodka"", ""Tequila"", ""Triple Sec"", ""Fruit"", ""Ice"", ""Salt"", ""Fruit Juice""]"
46,Adam Sunrise,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,Collins Glass,Vodka,Lemonade,Water,Sugar,,,,,,,,,2-Jan,1/2 can,2-Jan,10 tsp,,,,,,,,,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.","[""Vodka"", ""Lemonade"", ""Water"", ""Sugar""]"
47,Addington,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,Cocktail glass,Sweet Vermouth,Dry Vermouth,Soda Water,,,,,,,,,,2 shots,1 shot,Top up with,,,,,,,,,,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water.,"[""Sweet Vermouth"", ""Dry Vermouth"", ""Soda Water""]"
48,Addison,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Martini Glass,Gin,Vermouth,,,,,,,,,,,1 1/2 shot,1 1/2 shot,,,,,,,,,,,Shake together all the ingredients and strain into a cold glass.,"[""Gin"", ""Vermouth""]"
49,Addison Special,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,Old-fashioned glass,Vodka,Grenadine,Orange Juice,,,,,,,,,,1 shot,1 tblsp,Fill with,,,,,,,,,,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,"[""Vodka"", ""Grenadine"", ""Orange Juice""]"
50,Adios Amigos Cocktail,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,Martini Glass,Rum,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,,,,1 shot,1/2 shot,1/2 shot,1/2 shot,1/4 shot,1/4 shot,1/2 shot,,,,,,Shake together all the ingredients and strain into a cold glass.,"[""Rum"", ""Dry Vermouth"", ""Cognac"", ""Gin"", ""Fresh Lime Juice"", ""Sugar Syrup"", ""Water""]"
51,Adonis Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,Cocktail glass,Sweet Vermouth,Sherry,Orange Bitters,,,,,,,,,,3/4 oz,1 1/2 oz dry,1 dash,,,,,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.","[""Sweet Vermouth"", ""Sherry"", ""Orange Bitters""]"
52,Affair,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,Highball glass,Strawberry Schnapps,Orange Juice,Cranberry Juice,Club Soda,,,,,,,,,2 oz,2 oz,2 oz,,,,,,,,,,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","[""Strawberry Schnapps"", ""Orange Juice"", ""Cranberry Juice"", ""Club Soda""]"
53,Affinity,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,Cocktail glass,Scotch,Sweet Vermouth,Dry Vermouth,Orange Bitters,,,,,,,,,1 1/2 oz,1 oz,1 oz,2 dashes,,,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","[""Scotch"", ""Sweet Vermouth"", ""Dry Vermouth"", ""Orange Bitters""]"
54,After Dinner Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,Cocktail glass,Apricot Brandy,Triple Sec,Lime,Lime,,,,,,,,,1 oz,1 oz,Juice of 1,1,,,,,,,,,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,"[""Apricot Brandy"", ""Triple Sec"", ""Lime"", ""Lime""]"
55,After Five,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,Shot glass,Peppermint Schnapps,Kahlua,Bailey'S Irish Cream,,,,,,,,,,,,,,,,,,,,,,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled","[""Peppermint Schnapps"", ""Kahlua"", ""Bailey'S Irish Cream""]"
56,After Supper Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,Cocktail glass,Triple Sec,Apricot Brandy,Lemon Juice,,,,,,,,,,1 oz,1 oz,1/2 tsp,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Triple Sec"", ""Apricot Brandy"", ""Lemon Juice""]"
57,After sex,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Highball glass,Vodka,Creme De Banane,Orange Juice,,,,,,,,,,2 cl,1 cl,,,,,,,,,,,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,"[""Vodka"", ""Creme De Banane"", ""Orange Juice""]"
58,Afterglow,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Highball Glass,Grenadine,Orange Juice,Pineapple Juice,,,,,,,,,,1 part,4 parts,4 parts,,,,,,,,,,Mix. Serve over ice.,"[""Grenadine"", ""Orange Juice"", ""Pineapple Juice""]"
59,Afternoon,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Collins Glass,Kahlua,Bailey'S Irish Cream,Frangelico,Coffee,Cream,,,,,,,,1 cl,1 cl,1 1/2,4 cl hot,,,,,,,,,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.","[""Kahlua"", ""Bailey'S Irish Cream"", ""Frangelico"", ""Coffee"", ""Cream""]"
60,Alabama Slammer,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,Highball glass,Southern Comfort,Amaretto,Sloe Gin,Lemon Juice,,,,,,,,,1 oz,1 oz,1/2 oz,1 dash,,,,,,,,,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.","[""Southern Comfort"", ""Amaretto"", ""Sloe Gin"", ""Lemon Juice""]"
61,Alaska Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,Cocktail glass,Orange Bitters,Gin,Yellow Chartreuse,Lemon Peel,,,,,,,,,2 dashes,1 1/2 oz,3/4 oz,Twist of,,,,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.","[""Orange Bitters"", ""Gin"", ""Yellow Chartreuse"", ""Lemon Peel""]"
