_id,strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strInstructions,strIngList
352,Lone Tree Cooler,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg,Collins glass,Carbonated Water,Gin,Dry Vermouth,Powdered Sugar,Orange Spiral,Lemon Peel,,,,,,,,,,,,,,,,,,,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.","[""Carbonated Water"", ""Gin"", ""Dry Vermouth"", ""Powdered Sugar"", ""Orange Spiral"", ""Lemon Peel""]"
353,Long Island Iced Tea,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,Highball glass,Vodka,Tequila,Light Rum,Gin,Coca-Cola,Lemon Peel,,,,,,,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1 dash,Twist of,,,,,,,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,"[""Vodka"", ""Tequila"", ""Light Rum"", ""Gin"", ""Coca-Cola"", ""Lemon Peel""]"
354,Long Island Tea,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1439906072.jpg,Highball glass,Vodka,Light Rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,1/2 oz,1/2 oz,1/2 oz,1/2 oz,Juice of 1/2,1 splash,,,,,,,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,"[""Vodka"", ""Light Rum"", ""Gin"", ""Tequila"", ""Lemon"", ""Coca-Cola""]"
355,Long vodka,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg,Highball glass,Vodka,Lime,Angostura Bitters,Tonic Water,Ice,,,,,,,,5 cl,2-Jan,4 dashes,1 dl Schweppes,4,,,,,,,,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka","[""Vodka"", ""Lime"", ""Angostura Bitters"", ""Tonic Water"", ""Ice""]"
356,Lord And Lady,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg,Old-fashioned glass,Dark Rum,Tia Maria,,,,,,,,,,,1 1/2 oz,1/2 oz,,,,,,,,,,,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,"[""Dark Rum"", ""Tia Maria""]"
357,Lunch Box,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg,Pint glass,Beer,Amaretto,Orange Juice,,,,,,,,,,3/4 bottle,1 shot,1 oz,,,,,,,,,,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,"[""Beer"", ""Amaretto"", ""Orange Juice""]"
358,Mai Tai,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,Collins glass,Light Rum,Orgeat Syrup,Triple Sec,Sweet And Sour,Cherry,,,,,,,,1 oz,1/2 oz,1/2 oz,1 1/2 oz,1,,,,,,,,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,"[""Light Rum"", ""Orgeat Syrup"", ""Triple Sec"", ""Sweet And Sour"", ""Cherry""]"
359,Malibu Twister,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2dwae41504885321.jpg,Highball glass,Malibu Rum,Tropicana,Cranberry Juice,,,,,,,,,,2 parts,2 parts,1 part,,,,,,,,,,"Add rum & trister then, add cranberry jucie,stir","[""Malibu Rum"", ""Tropicana"", ""Cranberry Juice""]"
360,Mango Orange Smoothie,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/vdp2do1487603520.jpg,Highball Glass,Mango,Orange,,,,,,,,,,,1,2,,,,,,,,,,,Throw everything into a blender and liquify.,"[""Mango"", ""Orange""]"
361,Manhattan,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ec2jtz1504350429.jpg,Cocktail glass,Sweet Vermouth,Bourbon,Angostura Bitters,Ice,Maraschino Cherry,Orange Peel,,,,,,,3/4 oz,2 1/2 oz Blended,dash,2 or 3,1,1 twist of,,,,,,,"Stirred over ice, strained into a chilled glass, garnished, and served up.","[""Sweet Vermouth"", ""Bourbon"", ""Angostura Bitters"", ""Ice"", ""Maraschino Cherry"", ""Orange Peel""]"
362,Margarita,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wpxpvu1439905379.jpg,Cocktail glass,Tequila,Triple Sec,Lime Juice,Salt,,,,,,,,,1 1/2 oz,1/2 oz,1 oz,,,,,,,,,,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.","[""Tequila"", ""Triple Sec"", ""Lime Juice"", ""Salt""]"
363,Martinez Cocktail,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/wwxwvr1439906452.jpg,Cocktail glass,Gin,Dry Vermouth,Triple Sec,Orange Bitters,Cherry,,,,,,,,1 oz,1 oz,1/4 tsp,1 dash,1,,,,,,,,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,"[""Gin"", ""Dry Vermouth"", ""Triple Sec"", ""Orange Bitters"", ""Cherry""]"
364,Martini,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,Cocktail glass,Gin,Dry Vermouth,Olive,,,,,,,,,,1 2/3 oz,1/3 oz,1,,,,,,,,,,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","[""Gin"", ""Dry Vermouth"", ""Olive""]"
365,Mary Pickford,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg,Cocktail glass,Light Rum,Pineapple Juice,Maraschino Liqueur,Grenadine,Maraschino Cherry,,,,,,,,1 1/2 oz,1 oz,1/2 tsp,1/2 tsp,1,,,,,,,,Shake and strain into a chilled large cocktail glass,"[""Light Rum"", ""Pineapple Juice"", ""Maraschino Liqueur"", ""Grenadine"", ""Maraschino Cherry""]"
366,Masala Chai,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/uyrpww1441246384.jpg,Coffee Mug,Water,Tea,Ginger,Cardamom,Cloves,Cinnamon,Black Pepper,Sugar,Milk,,,,2 cups,3-4 tsp,1 chunk dried,3-4 crushed,3,1 piece,1-2 whole,to taste,,,,,Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.,"[""Water"", ""Tea"", ""Ginger"", ""Cardamom"", ""Cloves"", ""Cinnamon"", ""Black Pepper"", ""Sugar"", ""Milk""]"
367,Melya,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/xwtptq1441247579.jpg,Coffee mug,Espresso,Honey,Cocoa Powder,,,,,,,,,,,Unsweetened,,,,,,,,,,,"Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.","[""Espresso"", ""Honey"", ""Cocoa Powder""]"
368,Miami Vice,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qvuyqw1441208955.jpg,Cocktail glass,151 Proof Rum,Pina Colada Mix,Daiquiri Mix,,,,,,,,,,5 oz Bacardi,frozen,frozen,,,,,,,,,,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).","[""151 Proof Rum"", ""Pina Colada Mix"", ""Daiquiri Mix""]"
369,Microwave Hot Cocoa,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/8y4x5f1487603151.jpg,Coffee mug,Sugar,Cocoa Powder,Salt,Water,Milk,Vanilla Extract,,,,,,,5 tblsp,3 tblsp,1 dash,3 tblsp hot,2 cups,1/4 tsp,,,,,,,"Combine sugar, cocoa, salt and hot water in 1-quart micro-proof measuring cup (or coffee mug). Microwave at HIGH (100%) for 1 to 1 1/2 minutes or until boiling. Add milk, sitr and microwave an additonal 1 1/2 to 2 minutes or until hot. Stir in vanilla, blend well.","[""Sugar"", ""Cocoa Powder"", ""Salt"", ""Water"", ""Milk"", ""Vanilla Extract""]"
